INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
01/01/1999;31/03/1999;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;17,77;26,655
01/01/1999;31/03/1999;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;18,7;28,05
01/01/1999;31/03/1999;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;14,51;21,765
01/01/1999;31/03/1999;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;17,62;26,43
01/01/1999;31/03/1999;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;10,89;16,335
01/01/1999;31/03/1999;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;8,79;13,185
01/01/1999;31/03/1999;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;6,85;10,275
01/01/1999;31/03/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;27,47;41,205
01/01/1999;31/03/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;18,11;27,165
01/01/1999;31/03/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;12,25;18,375
01/01/1999;31/03/1999;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;5,8;8,7
01/04/1999;30/06/1999;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;11,94;17,91
01/04/1999;30/06/1999;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;9,14;13,71
01/04/1999;30/06/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;8,62;12,93
01/04/1999;30/06/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;6,74;10,11
01/04/1999;30/06/1999;FACTORING;fino a 100 milioni di lire;8,32;12,48
01/04/1999;30/06/1999;FACTORING;oltre 100 milioni di lire;6,87;10,305
01/04/1999;30/06/1999;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;10,68;16,02
01/04/1999;30/06/1999;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;22,91;34,365
01/04/1999;30/06/1999;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;16,19;24,285
01/04/1999;30/06/1999;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;17,69;26,535
01/04/1999;30/06/1999;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;14,05;21,075
01/04/1999;30/06/1999;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;16,35;24,525
01/04/1999;30/06/1999;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;9,68;14,52
01/04/1999;30/06/1999;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;7,99;11,985
01/04/1999;30/06/1999;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;5,93;8,895
01/04/1999;30/06/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;26,89;40,335
01/04/1999;30/06/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;17,61;26,415
01/04/1999;30/06/1999;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;11,47;17,205
01/04/1999;30/06/1999;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;5,09;7,635
01/07/1999;30/09/1999;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;11,72;17,58
01/07/1999;30/09/1999;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;8,9;13,35
01/07/1999;30/09/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;8,06;12,09
01/07/1999;30/09/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;6,56;9,84
01/07/1999;30/09/1999;FACTORING;fino a 100 milioni di lire;7,94;11,91
01/07/1999;30/09/1999;FACTORING;oltre 100 milioni di lire;6,58;9,87
